fuel_costs,manufacturing_costs,operational_costs,maintenance_costs,insurance_costs
115397.94169041884,10520686.4403965,2362405.624497354,596520.3187643059,265202.41606210684
671997.9286822447,15788636.062539369,4634649.653222242,815542.7209637882,2183924.418087955
590938.9647118989,1297661.21013556,1388583.8451503266,543175.9165699724,4655337.275794409
746457.8938380489,5753245.516135656,4889689.421151755,818254.1646619709,2539681.5672668056
545593.8352348518,9455054.79274602,4674014.756914167,958597.5488053294,508578.36664174777
179193.37793862977,16456723.00944683,4994972.732574384,179474.65847893903,1972884.3499869097
945125.3416869136,11151311.78445161,4811495.842064604,807891.4215447113,3548062.8180495
351550.8012643324,5298974.490645309,3281192.3758016126,942888.0192801638,2106499.87865128
929046.58900422,6865280.213203152,1983301.5853008488,178213.38907947834,4496491.362675227
729136.1648994469,18257534.29124309,3714133.5494480417,819345.6937516984,3958170.5512017314
824207.0611340562,19558842.365963273,2781198.442254542,718820.4480870977,1877770.7567179597
446095.47007703007,12020505.390113557,3290016.272235263,939839.6884971688,1765346.987991095
441860.27713722474,11773930.771152308,1898452.072008084,805889.0329121741,3761476.488235932
559875.6336338319,17025274.99455283,4430479.348170066,906245.4099134598,3835526.516671498
113789.7197671356,10269857.681782508,2404117.2489809142,994099.8985886399,4934813.808034369
160277.94505511696,6393077.449328613,4095132.4027930894,166207.9930141322,1340582.1531571418
457951.317758771,3295669.3994043414,1565242.7560499446,341464.5929465926,1114515.0839492693
678014.3453605395,2600486.7734496314,2307634.0831915196,116578.34558002009,222090.08562377474
485366.43923172273,3951348.06648886,788701.8327533968,218494.40408860028,1717491.0330503443
202456.50818280003,16422120.52549771,4202260.237014586,732302.0471177918,407511.98057899857
555964.1680447971,8891471.618339948,2840901.552919665,172018.61242518795,2059028.0336544418
207505.59072166553,19611702.283708543,3102273.1870491775,849426.8064586318,3440653.8976273704
959428.0237602772,6929064.789699891,1264509.6350295206,526354.914665729,103600.9045544735
292960.3016741306,15075971.106423855,2026885.9427041106,954522.6058414567,3274734.6140185487
163837.47853867325,4845718.9481054535,1035439.3715201919,554899.0832161258,564499.9617339806
568491.5880406538,2249470.569989224,2875009.9256447935,687772.0567548729,2044109.6435116224
603339.6835964111,6612840.3408445055,545211.2207078163,429897.52666223637,3769060.899479679
265028.4893811192,9927078.010937313,1362833.9545986361,357809.36828490265,669699.0736260578
862354.9566314289,17891832.53275474,1037633.2359738493,955870.9832575282,4177043.3541715415
391727.996209496,6958030.506044367,3913175.8488437585,972337.1967648085,1317065.2418013364
274316.6087085012,15205457.122001363,3240886.4291660828,946253.2509460289,2813900.520915855
598163.4770523029,3978969.3745057806,4750329.178176255,605103.8348419131,112165.78332794593
87790.6038438435,8804777.52570234,4343869.316020506,246672.57509854334,4184984.8496701056
119030.60606195735,2873371.446706973,4971531.139645986,207302.3864006442,1069291.696599611
82091.05395939783,15120731.76621078,1505749.7788818297,254238.47951814844,3145890.4474422266
536220.7115301746,11283730.652225645,1851126.344429941,535434.7919967375,4535157.294944337
197896.63685190468,4058159.200159383,2725012.7011259445,432703.77183627686,2993899.041030791
325995.62884210644,18897529.49654636,4396247.615926008,661066.6240705141,4062348.474781225
710370.9609626243,6826065.58676944,727669.4232438623,490122.74302176124,1675759.501870361
547212.728579361,17248994.16103681,3604826.2466171645,674373.2870221155,2242150.9429073012
371852.73996284616,12883200.628883597,2935435.9168829215,703273.2825603335,1352836.485013937
637187.9947707629,14019465.428781163,1061742.7587863053,829454.9715756878,4077067.89524756
616064.9385535776,3782270.410497676,2762139.0480401996,592471.6573038464,1505346.5150922954
330386.0180904023,1881592.3453889089,2465459.1104102796,608649.7344456709,2813740.924262301
64831.62215478558,10397107.12307157,3143125.9374031886,223968.43002551148,729525.0028474582
744374.632065623,13462981.935639234,1545279.5161375483,806013.7274490455,2380926.2137373392
681922.1763638835,12123875.796772165,3820628.1371852392,568358.9431742206,2911219.871077973
698562.964792757,3332628.1856366745,1801471.1569137452,399375.6045833199,1575320.3404127562
653269.5065733737,6336358.270246425,645642.998840275,484169.9937177259,2622735.0134352325
878960.4033349719,11771248.111460697,914917.3918933203,153534.88693421226,863232.8802334066
584468.8089574431,5027214.442115726,1699587.2964211707,889529.2690417436,2759665.977949823
820415.2523543444,8037980.950757669,4892935.663056591,545372.0232123167,2922308.214471806
787642.1517761687,18600748.794433974,4490889.341612986,425872.25776754145,2861909.496556189
228635.17508239797,1384358.120501791,4028406.723653909,305558.2815735591,4581250.073014036
372117.98674223426,1682390.575017864,2569150.480631356,819794.3221937584,4120766.636198688
536872.3132072929,18866024.3533765,1388136.445700829,924896.9649676954,3643884.7820442175
582451.1139704774,19989083.96465708,4975524.75882805,596298.3677361438,2788659.924067012
73676.15765137676,14840409.572474886,2972782.20534026,105097.17582069553,3769511.270141176
509105.8964171197,15452345.751188029,2824147.8537690323,849609.5058200856,4489807.340120574
274386.4074459835,12851907.114418076,2981034.109030295,743851.0166922038,3605850.943424258
683524.2265189677,10546795.696899084,2093240.0336820427,105994.85099388676,3609670.056887302
963609.0334560875,6049062.361211009,1565285.3465951006,294741.92994810245,3214082.6976469667
944910.0553014552,4866251.451362612,1284536.4110109233,231124.13146764168,2247509.954910435
426096.7296781004,13543614.684642402,2419594.935343597,784260.5363879506,4677705.568421293
604429.302692738,11512110.648991605,1191625.5562697463,937353.1420074704,1998939.1030067152
450697.95189848624,2465329.4047336234,861298.427760111,383766.18841039756,3666761.698944214
394902.54680274054,17054511.945661023,1881735.4039095095,473146.1982436493,2358089.309929356
62322.927294717345,1454904.598024419,818297.0628651655,512418.89653806976,4143896.5555757666
530443.330740651,18118844.562585842,4483813.309788328,775588.1505974607,1196410.2330093437
707650.5003125344,17901734.00004773,1959401.7109739091,930542.2257255269,1586258.9822556227
390632.16506988194,4607101.017116958,2142763.8167221453,874901.132575905,4399190.898065002
574898.6453452638,7070879.317107103,1167027.6581100095,533375.982934484,1784302.5768783824
980578.9817362325,10822385.051943334,3103777.627787904,811415.8353030952,2368369.212018772
998204.4102595783,8469176.873437222,706313.403972497,671432.3211479367,1772832.831864279
193751.87066713325,4308488.604135558,1864688.1362439706,310723.39675134566,1301192.4350944066
564847.371402354,18408378.655933425,3566176.9392231866,166090.7013081328,4785289.157266316
534982.1271741346,1026249.7170908906,2123987.2203184245,267891.24320854037,859983.6547434763
991972.7025591108,19166457.66612024,1384219.4306593128,605223.8613752152,2658975.057940225
533881.197611637,14779205.847436458,1516282.6566426835,117708.53899785384,3122247.657605305
245870.61709073617,5660103.951556283,4758582.696807316,175179.82159540872,1808966.1983060895
396956.0236947021,12101500.531726277,2171721.6295151776,120501.43522988794,1160142.9823702995
502005.6618285588,16340551.819115536,882353.426940094,358901.9170781024,1058431.0043800483
783630.9666557648,2084460.5874228186,1996492.3672264286,839564.6141623368,4901649.208785138
748319.2521301648,3332851.8027539146,1282394.4809318997,930734.8572788588,2910191.413835105
282376.5863774058,15204513.151456954,1097652.028983837,736314.1656651752,1799433.0402616635
830813.2693848409,12621183.340557402,4815958.337391285,202443.4252268299,4183735.185514519
991702.68895795,16236014.532022968,2398665.8085902412,173270.28965483053,1802987.0007846272
479798.91750850057,8316930.11107107,3579142.5432229717,285255.4063521938,418407.8076239365
656673.1412944564,5243067.529437213,4858029.342353704,742989.6372412824,3896469.4904577713
153440.59449283662,2366520.9267296353,2915491.483682463,470651.0387337141,1828721.2205074376
427996.2420686117,4418962.580103386,4765384.417926723,365968.0807836246,302349.13174456026
147779.60747773031,19969557.976084635,1824034.0341337374,736473.5702138098,3824023.4890874303
571681.5914018268,5692143.257139823,2003461.8433122947,772138.8009557342,4406819.285426182
679794.7592385261,7439706.136150588,3765961.947057372,273881.8926163354,738122.6943813849
515788.7930656304,16189705.394427659,3188902.8974822527,317248.08496783325,259401.60692335895
189346.7958645924,5573812.0089564,3583090.031339793,286716.7861444673,3419211.3806693368
447862.7170419233,2426974.449386933,4795074.956333664,156352.89362028323,1802630.9933610572
522145.1413820582,10623797.419884922,2122068.7507187687,821632.1719234424,3479167.6196184177
984892.6638933083,3096200.0546590975,3156925.9635507893,241468.56432911605,4961488.93429092
981569.518941929,13697032.864934968,1425449.742587369,598122.941692889,437194.8906826792
142186.61616690148,13867601.956165515,1888739.1629984402,624257.5631352705,2787289.134994479
541940.6177782689,18443368.907584205,3446286.4957237137,498899.43035592383,1860732.4277459527
660069.4519031912,14761379.479989482,2004517.9479128246,201945.34375867932,1751833.9653159995
392819.21990056743,2784601.9808965274,1222797.037020028,646964.9000543341,1996687.3917729165
933126.4446781479,13519712.012168884,4123248.125829979,381693.08753608196,1340569.4827982844
380156.8416212981,15819207.920718549,4564798.955268067,457208.93793407874,1057727.5061666975
165443.93020928625,12461896.084070098,2286652.2859958396,926955.2758205933,2082451.214273428
535235.6858703888,6857588.191238456,4602120.15430342,672248.0873919876,394127.1321591572
676518.8463443596,9920661.314623702,623455.7595526357,489369.2756099632,1051601.2825033683
573676.934464735,7796975.923461803,1486572.1960730762,821685.1916233472,840556.9917031274
304988.05118172977,12090087.762204744,4522169.830523261,828413.4914030365,2754120.5299401954
364063.0855986687,14177250.489313941,2098859.9597485345,425077.87204228994,4826755.027453571
751757.4888441182,18431046.17982337,2020432.7893232955,116289.31027331464,4836151.195839057
