payload_mass,payload_volume,target_orbit,deployment_mechanism
19084.15561204261,50.958833406804956,GEO,custom
4710.163121844558,93.04654565114394,polar,dispenser
7164.455007809538,80.30423852521012,GEO,fairing
8574.135193880964,16.25790651676234,GEO,fairing
19210.726812386758,84.96280887356927,GEO,custom
7858.377086282309,81.50497631490806,polar,fairing
6254.36667480152,44.048932176938344,LEO,custom
11151.230303285158,42.68501107714567,LEO,fairing
3598.7347787673903,80.41745188369231,polar,fairing
18823.52093151814,91.43265264907835,GEO,fairing
5273.235043868613,29.194993909556274,polar,custom
14432.05884463011,3.904223887624158,GEO,fairing
2687.562742575654,7.4000700269864925,LEO,fairing
3533.070532972528,77.82845934845714,polar,dispenser
19628.698896612575,78.44461989194387,LEO,dispenser
15420.518100138994,80.3091428388107,LEO,custom
9985.983883086523,50.61090821097732,polar,fairing
18800.62892510604,19.021629712843882,LEO,fairing
3560.890366097788,98.31305623189799,GEO,dispenser
9030.762551204025,37.950958949055895,GEO,custom
2637.927995238315,38.844671284455345,polar,dispenser
11857.403906952213,42.27490010593038,GEO,dispenser
7970.738310435159,87.84333351217744,polar,dispenser
16233.460943388001,3.7710558689651004,LEO,dispenser
5654.952591624216,4.621531532479213,polar,fairing
6745.075118492633,88.73017988823905,polar,dispenser
6468.134175964294,96.02962626566031,GEO,dispenser
6965.622814803607,28.212587377550175,GEO,dispenser
1618.668147172973,43.53001891028176,GEO,dispenser
7277.148804527694,65.22872586797791,polar,dispenser
2913.306869158082,46.92040004971322,LEO,dispenser
13239.35380619473,69.52244158974649,LEO,fairing
11896.484912789578,30.770850212218672,LEO,custom
13645.497423191393,1.0771086742804723,LEO,custom
12134.063281308963,81.25337392806264,LEO,fairing
1707.1669314269097,97.0674858313448,GEO,custom
9678.951946623696,2.2674226594345033,GEO,dispenser
3818.624384535466,9.351200160116287,LEO,dispenser
8197.167056491762,23.042113748346978,LEO,fairing
3413.033375991586,92.87854276841712,GEO,custom
7152.351376364399,56.271462638359374,polar,custom
15803.296272306294,30.450807229731062,polar,dispenser
9325.075556806263,17.146468569314088,LEO,fairing
3711.4912012762998,55.20937541426163,GEO,dispenser
16914.026505280584,5.065747178601624,GEO,dispenser
4450.558780505366,37.43773737951006,polar,dispenser
9365.443280464235,90.73202569508992,polar,custom
8274.974969152825,43.57126986062374,LEO,dispenser
13969.968170911616,64.30806872869948,polar,custom
17164.332421942512,63.542378602045574,polar,fairing
7426.550049400958,26.122776938752217,GEO,dispenser
2821.7063864881948,10.43018486988219,LEO,custom
1100.9928256200294,21.795511753041012,polar,custom
15573.287728047979,41.371769875266274,LEO,fairing
16017.885100225742,79.21723271554532,GEO,fairing
16836.57571088508,18.917685603137233,polar,custom
9618.31156212082,52.81570072868986,GEO,fairing
17516.53575537958,83.91906074594412,GEO,fairing
10901.251102812566,56.002157737767575,GEO,custom
3204.8823303443537,2.6004010346901723,LEO,fairing
16178.866064478465,3.4744528861464175,GEO,dispenser
9203.479535829882,19.12901924441794,LEO,dispenser
15031.407334519425,18.843326618455567,GEO,custom
5657.4389122157245,67.45906763058348,GEO,custom
12222.435380535615,45.91942479585991,GEO,dispenser
17405.837849965348,3.313762975598409,LEO,custom
7841.676735367271,20.186275604114773,LEO,dispenser
8402.269858772679,46.23028554459424,LEO,dispenser
17742.839910594023,34.54387992055636,GEO,custom
12082.889609262831,95.44068143183384,LEO,custom
3272.318529878317,92.37411990446661,polar,fairing
11441.347211340813,56.1756881149143,GEO,fairing
1845.2130400211777,96.41541300411582,GEO,custom
11262.141335426879,94.97208651783212,GEO,custom
16569.773739943164,41.94087530417845,polar,custom
11849.366342272471,61.21312691485955,polar,fairing
18025.197788675523,16.552797158348163,LEO,fairing
7067.472620741627,90.89092947241892,GEO,custom
5679.781812396682,92.60419044587185,GEO,custom
11942.54419658976,25.302671950825225,GEO,fairing
3702.03386817452,29.307486814323923,LEO,dispenser
14600.219525444014,10.92430038512523,GEO,dispenser
7215.402953650512,35.85623871810694,GEO,fairing
14763.715032089476,13.467127772999351,LEO,custom
15871.528256083468,16.34661306199057,GEO,dispenser
3789.892313804773,96.51117847833835,GEO,custom
19929.014713327888,61.97958958536888,GEO,fairing
19035.236415878844,51.89065849034941,polar,dispenser
2558.60412932536,10.505232951835861,LEO,custom
15212.508340169084,77.26083717850727,GEO,dispenser
15496.075582749663,94.35301065699409,LEO,dispenser
15079.325806038762,45.25848417780785,GEO,custom
18453.95856390921,54.05776719472199,GEO,dispenser
13870.040049909814,75.56158953030179,polar,fairing
3451.035038796799,61.00802200306918,GEO,fairing
15592.274963448972,6.520163679745514,GEO,dispenser
11310.13825648859,10.93528842384913,LEO,fairing
6413.019026943346,65.02342234058212,GEO,fairing
17963.486684469684,61.536719648148754,GEO,dispenser
11768.862871754265,25.820460926908567,LEO,fairing
13467.095912577377,48.0606762427264,LEO,fairing
1826.1537849003244,35.68582033837567,polar,dispenser
10427.455801514801,59.53572035914507,GEO,dispenser
15833.409868374385,27.41387592021166,LEO,dispenser
18571.374177551214,60.00239878343659,LEO,custom
7694.960573625747,91.26680210470366,GEO,fairing
2540.847425081138,75.99454312725429,GEO,fairing
2346.8382140328986,97.26638810667264,LEO,custom
12541.00619015706,70.56534186922657,polar,fairing
3211.1611009242442,64.88477219396538,polar,fairing
10819.249315184474,82.53631305154097,polar,custom
13524.897488471193,52.98832482553662,polar,custom
11182.621679749891,5.046856012124796,polar,fairing
6706.429752910904,64.9051042845244,LEO,dispenser
2350.193016858735,68.12504239402124,LEO,dispenser
16454.84112684945,55.31937461277255,LEO,dispenser
3205.8412161227784,24.881873778289602,LEO,fairing
11895.799512607522,79.5666626941446,LEO,fairing
6968.919127746641,47.733698772299,GEO,custom
4801.603444895374,9.713456042841855,LEO,fairing
10734.116090834761,84.03432531044686,GEO,dispenser
10008.886464193389,59.77149302375038,GEO,custom
5632.039215693098,99.51056374357802,GEO,dispenser
14443.779536281074,66.99964273579454,GEO,dispenser
14346.931489966628,79.41425930373002,polar,custom
19223.604032316267,52.27754028136131,GEO,custom
8474.801552004075,44.243230282675384,LEO,dispenser
9524.675461531677,18.863740277266913,GEO,dispenser
17284.82719540155,50.84360909436404,GEO,dispenser
5682.437807629493,80.0255658594683,GEO,dispenser
8500.637309650181,84.12514328476684,polar,custom
18437.555699850487,84.89040444897641,LEO,fairing
5380.135230105031,91.0892929260828,LEO,fairing
13160.083203496046,76.73123801475259,GEO,fairing
1389.8693593592257,94.60866300914034,LEO,fairing
19927.821509006062,38.48162512605999,GEO,fairing
10344.204330771116,2.472295174302912,GEO,custom
3652.6056518882947,61.81754617680168,polar,dispenser
17363.60450998159,8.25517454065041,GEO,custom
9195.72883641437,30.434986148019576,LEO,dispenser
4265.205681301384,10.161541670326587,polar,custom
15775.93824103377,74.73903903745132,LEO,custom
3687.132308379769,28.848649813107386,polar,custom
2856.380591416979,63.92502156489623,GEO,fairing
4043.262370316561,82.40375158469492,GEO,fairing
4437.9468423860335,29.869866479791803,GEO,custom
7286.4254613509165,75.41844927707453,LEO,custom
4116.234932129337,40.93948067584275,polar,dispenser
5716.310218103682,76.67339994047171,LEO,dispenser
4371.328091330051,81.25309090144124,GEO,custom
8081.034044393664,7.27572779416208,polar,custom
9371.48037509598,68.20208247686212,polar,fairing
6002.408100695341,8.859075791650485,polar,fairing
11606.536289256675,49.15497338294195,LEO,fairing
2982.085275674829,70.84672636232885,GEO,custom
6663.5065866755895,97.15597640572476,GEO,fairing
14441.199517464089,1.5446845866834022,LEO,custom
11456.218765339676,84.99517453581838,LEO,fairing
15001.064516281249,31.25675337029694,polar,fairing
9060.055872501987,89.08345432162024,LEO,fairing
4099.195000814632,81.68555038689566,polar,custom
12024.073266786841,31.724942961949278,LEO,custom
18105.837776204084,66.9885871353933,polar,custom
18401.25061737095,74.65368499106226,GEO,dispenser
7812.155315606311,63.09713974142364,GEO,custom
2966.8063724945205,44.23718319027771,polar,fairing
18763.60105827786,88.11968219230452,polar,fairing
7352.678029702343,76.26270738982439,LEO,dispenser
13360.737638453014,32.28008134818342,GEO,fairing
17712.394548052347,78.99961374714039,polar,custom
6560.061137300328,83.63338303586416,polar,dispenser
3302.8301892704435,37.50959183769115,LEO,fairing
13341.808104367132,16.469268316612563,GEO,fairing
6531.126341292555,37.159430351039504,polar,fairing
12887.852574191667,98.54561141380482,GEO,custom
2889.19274516151,73.80119276709486,polar,dispenser
8026.090935636415,19.072760484471885,GEO,fairing
15431.506849106661,69.84975547573025,LEO,fairing
12993.609774930728,96.03631795402113,LEO,dispenser
6543.007569926817,54.12443199232019,LEO,fairing
9964.353128315375,46.90698807583146,GEO,dispenser
18285.89146110901,8.98455812758582,LEO,dispenser
7053.897562037301,78.1649285686038,polar,custom
15781.559654721836,22.772773329633786,polar,dispenser
6563.214591784819,61.965183862282544,LEO,dispenser
12764.111161346138,66.69923402684734,GEO,fairing
8479.826705183583,75.41222047928537,GEO,fairing
5304.91834909886,5.6632866471534085,LEO,dispenser
5104.473396265726,37.256170232924575,LEO,dispenser
1507.4928821558613,82.38841639429131,LEO,custom
18925.46198640184,52.55128934167602,polar,dispenser
4692.819793844121,88.55738959153106,LEO,dispenser
4483.1492098641465,32.26215955722499,polar,dispenser
19937.0940647654,83.63986194644392,polar,dispenser
17015.12016768435,6.5169604111840265,GEO,fairing
11467.267511430338,96.72962587232622,LEO,custom
13497.396798689912,51.128368525953064,LEO,dispenser
14047.926029403365,82.01568685937342,GEO,fairing
1398.2813655788555,82.34945791321285,LEO,custom
16917.38091566752,19.08009419051149,GEO,fairing
8278.873855757058,28.700662191537674,polar,fairing
11559.085035666414,23.552044488518437,LEO,custom
3071.728601807876,38.11053387541505,polar,dispenser
4331.507134148056,81.93641744203023,LEO,fairing
11677.883725647562,8.694992214908567,LEO,custom
14429.399368827531,21.182064963328852,polar,dispenser
3293.6095290364156,12.853115973413155,polar,fairing
3899.1629393626326,30.57037155895865,polar,dispenser
10227.089920734988,39.549687722343954,GEO,fairing
7314.768531493078,69.47591277429343,GEO,fairing
7287.22394116969,49.764919693962476,LEO,custom
13698.801333639694,22.22549806797462,polar,dispenser
17559.67330675069,60.52591871074445,LEO,fairing
5653.588313131235,98.50335506310638,polar,dispenser
6562.17493105177,53.822102770163774,polar,custom
3865.727044937356,48.86530175270901,GEO,fairing
13596.772618117859,45.67838815284255,LEO,custom
6495.9458016683775,49.37357584694575,polar,fairing
16889.289736081646,41.466782296501336,LEO,custom
10314.79221559231,8.33452458140215,GEO,dispenser
2898.9941814007716,91.97025043409714,LEO,dispenser
2473.3535069179816,20.51089238795799,GEO,fairing
17799.898212919325,43.483700242835575,polar,dispenser
16561.46785018957,48.54652966180706,GEO,dispenser
15845.145308716965,94.71874137564322,polar,fairing
7986.610596617883,10.133993439012977,GEO,fairing
7529.1446280012315,82.79202314183586,polar,custom
17227.152188149223,74.775657250735,polar,fairing
11955.389392905634,48.71534268312732,LEO,custom
8312.163273859547,48.623487356103325,GEO,fairing
10496.894423994523,92.97821441283267,polar,custom
10509.395068414044,20.39537967462489,polar,fairing
15368.110685330948,91.88478945015548,GEO,fairing
12984.942389156324,62.68730044293797,polar,dispenser
